stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1825,1825,WBD Willow past Comfort Ave,W WILLOW ST & CAWOOD ST,42.74836,-84.574991,,,,,,0
1826,1826,WBD Willow past Cleo St,W WILLOW ST & CLEO ST,42.748393,-84.576918,,,,,,0
1827,1827,WBD Willow past Sunset Ave,W WILLOW ST & SUNSET AVE,42.748403,-84.579682,,,,,,0
1828,1828,WBD Willow before Eastfield Rd,W WILLOW ST & before Eastfield,42.748365,-84.583858,,,,,,0
1829,1829,WBD Willow past Eastfield Rd,W WILLOW ST & past Eastfield,42.748355,-84.586992,,,,,,0
1830,1830,WBD Willow before Boynton Dr,W WILLOW ST & Boynton,42.748421,-84.591945,,,,,,0
1831,1831,WBD Willow past Briarwood Dr,W WILLOW ST & GOULD RD,42.74839,-84.59407,,,,,,0
1832,1832,SBD Morris past Willow St,MORRIS AVE & OVERLEA DR,42.74797,-84.59625,,,,,,0
1833,1833,SBD Morris past Cornelia Dr,MORRIS AVE & CORNELIA DR,42.74646,-84.59628,,,,,,0
1834,1834,SBD Morris before Sylvan Ave,MORRIS AVE & MACON AVE,42.744914,-84.596343,,,,,,0
1835,1835,SBD Morris before Upton Rd,MORRIS AVE & HAGAN ST,42.74235,-84.59631,,,,,,0
1836,1836,WBD Saginaw past Morris Ave,W SAGINAW ST & FITTING AVE,42.7411,-84.59716,,,,,,0
1837,1837,WBD Saginaw past Edgemont Blvd,W SAGINAW ST & EDGEMONT BLVD,42.74118,-84.60036,,,,,,0
1838,1838,WBD Saginaw past Waverly Rd,E SAGINAW HWY & N WAVERLY RD,42.74117,-84.60408,,,,,,0
1839,1839,WBD Saginaw past Thomas L Pkwy,E SAGINAW HWY & THOMAS L PKWY,42.741155,-84.606921,,,,,,0
1840,1840,WBD Saginaw past Clark Rd,E SAGINAW HWY & CLARK RD,42.741173,-84.609636,,,,,,0
1842,1842,WBD Saginaw past Maycroft Rd,E SAGINAW HWY & THEO AVE,42.741136,-84.61713,,,,,,0
1844,1844,NBD Elmwood past Saginaw St,ELMWOOD RD & IRIS AVE,42.741502,-84.622364,,,,,,0
1845,1845,WBD Mall Dr W after Elmwood Rd,W MALL DR & E MALL DR,42.745439,-84.623004,,,,,,0
1846,1846,WBD Mall Dr Past Vil. Green Access,W MALL DR & LANSING MALL LOT,42.74546,-84.62936,,,,,,0
1847,1847,EBD Frontage past Mall Dr,S SERVICE DR & K MART LOT,42.74094,-84.630626,,,,,,0
1850,1850,Meijer W Saginaw by Gas Station,UNNAMED ST & BARBARA DR,42.740231,-84.624882,,,,,,0
1851,1851,EBD Saginaw past Elmwood Dr,E SAGINAW HWY & ELMWOOD DR,42.741055,-84.621246,,,,,,0
1852,1852,EBD Saginaw past Theo Ave,E SAGINAW HWY & RICHARD AVE,42.741028,-84.617781,,,,,,0
1853,1853,EBD Saginaw St past Julian Ave,E SAGINAW HWY & JULIAN AVE,42.741011,-84.615324,,,,,,0
1854,1854,EBD Saginaw past Harriet Ave,E SAGINAW HWY & past Harriet,42.741029,-84.612327,,,,,,0
1855,1855,EBD Saginaw past Renker Rd,E SAGINAW HWY & CLARK RD,42.741056,-84.608653,,,,,,0
1857,1857,NBD Morris before Upton Rd,MORRIS AVE & UPTON RD,42.74213,-84.59622,,,,,,0
1858,1858,NBD Morris before Sylvan Ave,MORRIS AVE & SYLVAN RD,42.74472,-84.59621,,,,,,0
1859,1859,NBD Morris past Timber Dr,MORRIS AVE & CORNELIA DR,42.74626,-84.5962,,,,,,0
1860,1860,NBD Morris before Willow St,MORRIS AVE & OVERLEA DR,42.74812,-84.59619,,,,,,0
1861,1861,EBD Willow at Gould,W WILLOW ST & BRIARWOOD DR,42.748314,-84.594869,,,,,,0
1862,1862,EBD Willow past Westfield Rd,W WILLOW ST & Westfield,42.7483,-84.59102,,,,,,0
1863,1863,EBD Willow past Eastfield Rd,W WILLOW ST & EASTFIELD RD,42.748243,-84.586464,,,,,,0
1864,1864,EBD Willow before Sunset Ave,W WILLOW ST & Sunset St,42.748239,-84.583703,,,,,,0
1865,1865,EBD Willow past Sunset Ave,W WILLOW ST & Sunset,42.7483,-84.57911,,,,,,0
1867,1867,EBD Willow past Jenison Ave,W WILLOW ST & N JENISON AVE,42.74828,-84.57249,,,,,,0
1868,1868,EBD Willow past Linwood St,W WILLOW ST & N MARTIN LUTHER KING JR BLVD,42.74825,-84.5681,,,,,,0
1869,1869,EBD Willow past MLK Jr Blvd,W WILLOW ST & PRINCETON AVE,42.74823,-84.56586,,,,,,0
1871,1871,EBD Willow at Christopher St,W WILLOW ST & CHRISTOPHER ST,42.74872,-84.56194,,,,,,0
1872,1872,SBD Pine St past W Willow St,N PINE ST & W GRAND RIVER AVE,42.74825,-84.55993,,,,,,0
1874,1874,SBD Pine St past W Oakland Ave,N PINE ST & W OAKLAND AVE,42.743101,-84.559952,,,,,,0
1898,1898,EBD Malcolm X past S Grand Ave,E MAIN ST & S GRAND AVE,42.725452,-84.550013,,,,,,0
1899,1899,SBD Cedar past E Elm St,S CEDAR ST & E ELM ST,42.72121,-84.54555,,,,,,0
1901,1901,SBD Cedar past Isbell St,S CEDAR ST & past Isbell,42.71387,-84.54722,,,,,,0
1902,1902,SBD Cedar past E Mt Hope Ave,,42.710266,-84.548119,,,,,,0
1905,1905,SBD Cedar past E Greenlawn Ave,S CEDAR ST & E WILLARD AVE,42.70463,-84.54809,,,,,,0
1906,1906,SBD Cedar past Paris Ave,S CEDAR ST & PARIS AVE,42.70165,-84.548113,,,,,,0
1908,1908,SBD Cedar past E Holmes Rd,S CEDAR ST & E HOLMES RD,42.69696,-84.54811,,,,,,0
1909,1909,SBD Cedar past E Rouse St,S CEDAR ST & E ROUSE ST,42.69407,-84.54812,,,,,,0
1911,1911,SBD Cedar past E Cavanaugh Rd,S CEDAR ST & E CAVANAUGH RD,42.68983,-84.5481,,,,,,0
1912,1912,SBD Cedar past E Potter Ave,S CEDAR ST & past Potter,42.68742,-84.54811,,,,,,0
1913,1913,SBD Cedar past E Syringa Dd,S CEDAR ST & CEDAR CT,42.6843,-84.54816,,,,,,0
1915,1915,SBD Cedar past E Jolly Rd,S CEDAR ST & E JOLLY RD,42.682484,-84.548114,,,,,,0
1916,1916,SBD Cedar past  Armstrong Rd,S CEDAR ST & ARMSTRONG RD,42.67912,-84.54814,,,,,,0
1917,1917,SBD Cedar past E Northrup St,S CEDAR ST & E NORTHRUP ST,42.67623,-84.54767,,,,,,0
1918,1918,SBD Cedar past Kaynorth Rd,S CEDAR ST & past Kaynorth,42.67231,-84.54577,,,,,,0
1936,1936,SBD Eifert past Deer Run Ln,N EIFERT RD & DEER RUN LN,42.637629,-84.543091,,,,,,0
1937,1937,SBD Eifert past Wilcox,N EIFERT RD & WILCOX RD,42.63309,-84.54305,,,,,,0
1938,1938,EBD Windmill past Rotterdam,WINDMILL BLVD & N EIFERT RD,42.623985,-84.543249,,,,,,0
1940,1940,NBD Eifert at Valley Brook Rd,N EIFERT RD & WINDMILL BLVD,42.62794,-84.5429,,,,,,0
1946,1946,EBD Doncaster past Aurelius Rd,DONCASTER AVE & AURELIUS RD,42.62919,-84.52227,,,,,,0
1976,1976,NBD Cedar past Cedar Ct,S CEDAR ST & E SYRINGA DR,42.68634,-84.54794,,,,,,0
1990,1990,NBD Cedar past E Elm St,S CEDAR ST & E ELM ST,42.72202,-84.54532,,,,,,0
1995,1995,EBD Kalamazoo past Lathrop St,E KALAMAZOO ST & ALLEN ST,42.729961,-84.528145,,,,,,0
2002,2002,EBD Forest past Aurelius Rd,FOREST RD & AURELIUS RD,42.704564,-84.522755,,,,,,0
2003,2003,EBD Forest past Aurora Dr,,42.704623,-84.517659,,,,,,0
2014,2014,EBD Jolly past Aurelius Rd,,42.682955,-84.52225,,,,,,0
2038,2038,WBD Forest past Aurora Rd,FOREST RD & AURORA DR,42.704686,-84.518113,,,,,,0
2046,2046,WBD Kalamazoo past Allen St,E KALAMAZOO ST & LATHROP ST,42.730068,-84.527641,,,,,,0
2050,2050,WBD Kalamazoo before Hosmer,E KALAMAZOO ST & S 8TH ST,42.729976,-84.540723,,,,,,0
2181,2181,NBD Pennsylvania past Maplehill,S PENNSYLVANIA AVE & MAPLEHILL AVE,42.69264,-84.53796,,,,,,0
2182,2182,NBD Pennsylvania at Irvington Ave,S PENNSYLVANIA AVE & IRVINGTON AVE,42.69485,-84.53797,,,,,,0
2198,2198,EBD Shiawassee near Dorrance Pl,E SHIAWASSEE ST & N CEDAR ST,42.7371,-84.54104,,,,,,0
2213,2213,NBD N East past Howe,N EAST ST & E HOWE AVE,42.764088,-84.542699,,,,,,0
2223,2223,EBD Thomas past Turner St,W THOMAS ST & TURNER ST,42.7579,-84.552928,,,,,,0
2224,2224,EBD Thomas past Gary Ave,E THOMAS ST & GARY ST,42.757898,-84.549377,,,,,,0
2225,2225,EBD Thomas at Hall St,E THOMAS ST & THOMPSON ST,42.758013,-84.545678,,,,,,0
2230,2230,SBD High past Lake Lansing,N HIGH ST & LAKE LANSING RD,42.754,-84.53878,,,,,,0
