route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
06,16,3029679,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029680,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029681,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029682,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029683,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029684,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029685,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029686,6 JOLLY/CEDAR CONNECTOR,,0,395708,42921,0,0
06,16,3029687,6 JOLLY/CEDAR CONNECTOR,,0,395708,42918,0,0
07,16,3029891,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029890,7 AURELIUS - MILLER,,0,395716,42922,0,0
07,16,3029889,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029888,7 AURELIUS - MILLER,,0,395716,42922,0,0
07,16,3029887,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029886,7 AURELIUS - MILLER,,0,395716,42922,0,0
07,16,3029885,7 AURELIUS - MILLER,,0,395718,42922,0,0
07,16,3029884,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029883,7 AURELIUS - MILLER,,0,395716,42922,0,0
07,16,3029882,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029881,7 AURELIUS - MILLER,,0,395716,42922,0,0
07,16,3029880,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029879,7 AURELIUS - MILLER,,0,395716,42922,0,0
07,16,3029878,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029877,7 AURELIUS - MILLER,,0,395716,42922,0,0
07,16,3029876,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029875,7 AURELIUS - MILLER,,0,395717,42922,0,0
07,16,3029874,7 AURELIUS - MILLER,,0,395716,42922,0,0
07,16,3029873,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029872,7 AURELIUS - MILLER,,0,395716,42922,0,0
07,16,3029871,7 AURELIUS - MILLER,,0,395715,42922,0,0
07,16,3029912,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
07,16,3029911,7 AURELIUS/DOWNTOWN,,1,395715,42925,0,0
07,16,3029910,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
07,16,3029909,7 AURELIUS/DOWNTOWN,,1,395715,42925,0,0
07,16,3029908,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
07,16,3029907,7 AURELIUS/DOWNTOWN,,1,395715,42925,0,0
07,16,3029906,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
07,16,3029905,7 AURELIUS/DOWNTOWN,,1,395718,42925,0,0
07,16,3029904,7 AURELIUS/DOWNTOWN,,1,395715,42925,0,0
07,16,3029903,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
07,16,3029902,7 AURELIUS/DOWNTOWN,,1,395715,42925,0,0
07,16,3029901,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
07,16,3029900,7 AURELIUS/DOWNTOWN,,1,395715,42925,0,0
07,16,3029899,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
07,16,3029898,7 AURELIUS/DOWNTOWN,,1,395715,42925,0,0
07,16,3029897,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
07,16,3029896,7 AURELIUS/DOWNTOWN,,1,395715,42925,0,0
07,16,3029895,7 AURELIUS/DOWNTOWN,,1,395717,42925,0,0
07,16,3029894,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
07,16,3029893,7 AURELIUS/DOWNTOWN,,1,395715,42925,0,0
07,16,3029892,7 AURELIUS/DOWNTOWN,,1,395716,42925,0,0
08,16,3030143,8 PENNSYLVANIA - HOLT,,0,395740,42927,0,0
08,16,3030154,8 PENNSYLVANIA - HOLT,,0,395739,42927,0,0
08,16,3030158,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
08,16,3030136,8 PENNSYLVANIA - HOLT,,0,395740,42926,0,0
08,16,3030137,8 PENNSYLVANIA - HOLT,,0,395739,42926,0,0
08,16,3030138,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
08,16,3030139,8 PENNSYLVANIA - HOLT,,0,395740,42926,0,0
08,16,3030140,8 PENNSYLVANIA - HOLT,,0,395739,42926,0,0
08,16,3030144,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
08,16,3030145,8 PENNSYLVANIA - HOLT,,0,395742,42926,0,0
08,16,3030146,8 PENNSYLVANIA - HOLT,,0,395740,42926,0,0
08,16,3030147,8 PENNSYLVANIA - HOLT,,0,395739,42926,0,0
08,16,3030148,8 PENNSYLVANIA - HOLT,,0,395741,42926,0,0
